"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,All my friends like to go club dancing.,They think it's great fun and always invite me to join them.,"Last Saturday, I finally decided to accompany him.",I danced so badly that I broke my friend's toe.,My friends decided to stop inviting me to play because I wasn't having a good time.,The second weekend I was not asked to stay home.,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,I went to the park the other day.,The weather was perfect for walking.,"Within minutes of arriving, I started sneezing.",My eyes were watering and it was hard to breathe.,My allergies are not too bad and I don't have to go back home.,It reminds me that I never liked spring flowers.,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery is married with children.,She was tired of her boring life.,"One day, she decided to meet up with her college boyfriend.","That night, she made a lapse in judgement and was unfaithful to her husband.",Avery did not expect his children to be happy with his decision.,Avery doesn't regret what he did the next day.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Josh loves it when his mum bakes him an apple pie.,But I always hate to wait until after dinner.,"So, he decided to sneak some in before dinner this time.",The eggs her mother used must have been bad.,JOSH didn't think the pie was good.,JOSH is not sick,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John is writing lyrics for a new album.,He began to encounter writer's block.,It doesn't help to try to force yourself to write.,"We walk, play with friends and watch nature.",But then I went home and wrote it.,John couldn't think of an idea for a picture at the time.,1
325503ab-11f5-416d-81fb-3980793ca6f7,The cashier counts the dollar notes on the table.,"Two men burst into the shop, armed and ready.",People began to panic and scream.,These people threaten people and keep them quiet.,"The cashier didn't give them any cash, so they left.",The cashier did not invite the man to his high school reunion.,1
794c804e-89ca-47b1-a583-7300e0509764,"A neighbour, Mr Mills, bought a new car.",My car was stolen over the weekend,They came to my house and asked if I knew about it.,"I said, ""No, I didn't."" But for some reason, he doubted me.",They didn't call the police to my house.,"After that, they didn't like me much.",1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,There was a really annoying boy in Kelly's economics class.,He dominated class discussions with his banal ideas.,The professor couldn't keep him quiet.,"One day, he appeared in class with laryngitis.",KERRY did not disappoint.,Kelly wasn't so grateful.,2
61d1df75-b64c-485d-9599-0dd7f8809433,Franny is not very happy about the ongoing immigration issue.,I thought immigrants came here to create social problems.,A migrant moved in next door and Franny was upset.,"Sal, the immigrant, was kind and became good friends with Franny.",Franny was not deported after all.,Franny has never learned to validate her prejudices.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon was given a 10-page research paper for the class.,I started writing my dissertation on a Dell laptop I bought in 2003.,Brendan stayed up until 1am trying to finish his thesis.,"Suddenly, my computer broke down.","When he didn't finish his thesis, he went to bed.","Luckily, he didn't save everything to an external disk.",2
