"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,我所有的朋友都喜欢在俱乐部跳舞。,他们觉得很好玩，总是邀请你。,上周六我终于决定加入。,我跳舞跳得很糟糕，把朋友的脚趾头弄断了。,我的朋友们已经决定不再约我出去了 因为我没有那么多乐趣。,下个周末，我没有被要求留在家里。,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,有一天，我想去公园。,天气似乎很好，适合散步。,刚到那里没几分钟，我就开始打喷嚏。,我的眼睛在流泪，呼吸急促。,我的过敏症不是太严重，我没有回家。,让我想起了我是多么的不喜欢春花。,1
4745d627-be9b-45f2-ad92-99c82cc83f85,艾利已经结婚生子。,她厌倦了自己无聊的生活。,有一天，她决定去见一个大学里的老家伙。,那天晚上，她做了错误的决定，对丈夫不忠。,Avery认为她的孩子们不会满意她的决定,第二天Avery并没有为自己的行为后悔。,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,乔希喜欢他妈妈做苹果派的时候。,他不喜欢总是要等到吃饭的时候。,于是，他决定这次晚饭前偷偷吃一口。,他妈妈用的鸡蛋可能是坏的。,乔希不认为馅饼是好吃的。,乔希没有生病。,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,约翰为他的新专辑作词。,他开始遭遇作家的阻挠。,他试图强迫自己去写，但无济于事。,他散步，与朋友交往，观察自然。,他觉得没有灵感，然后他就回家写了。,约翰当时对他的画没有想法。,1
325503ab-11f5-416d-81fb-3980793ca6f7,收银员正在办公桌上清点一元纸币。,两名男子闯入店内，拿起枪支。,大家都害怕了，开始尖叫。,这些人威胁人们要保持安静。,收银员没有给他们现金离开。,财务主管没有邀请男子参加高中会议。,1
794c804e-89ca-47b1-a583-7300e0509764,隔壁，米尔斯有一辆新车。,这辆车是在周末被偷的。,他们来到我家，问我是否知道什么。,我告诉他们没有，但不知为什么他们怀疑我。,他们没有叫警察来我家。,然后他们不喜欢我。,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,他是凯瑞经济课上一个很不讨喜的男生。,他以其平庸的想法，垄断了每一次课堂讨论。,教授永远无法让他安静下来。,有一天，他因为咽喉炎来上课。,克里没有失望。,克里并不那么感激！,2
61d1df75-b64c-485d-9599-0dd7f8809433,弗兰妮不喜欢所有的移民。,她认为，移民是来造成社会问题的。,当一个移民搬进隔壁时，弗兰妮开始不高兴了。,新来的萨尔很友好，与弗兰妮交好。,弗兰妮最终没有被驱逐出境。,弗兰妮还没有学会检查她的偏见。,2
482130ae-9698-477e-a20e-76b48d99a2e3,布兰登要为班级写一篇10页的研究报告。,他是在2003年的戴尔笔记本电脑上开始写这篇文章的。,布兰登一直到凌晨1点才完成任务。,突然，他的电脑崩溃了，死了。,当他没有写完这篇文章时，他就去睡觉了。,幸运的是，它并没有把所有的东西都保存在外置硬盘上。,2
3f076ec0-6985-418d-bb75-45b437aceca0,阿里每天花20块钱买咸菜。,为了省钱，他决定自己做。,他把泡菜放在盐水里。,阿里等了两个星期，腌菜才酸。,ari打开罐子，发现不完整的泡菜。,咏叹调泡菜不甜。,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,特鲁迪想以写小说为生。,一个是用传统出版手段写的。,她赚的钱几乎不够支付她收到的预付款。,第二种是自行出版。,特鲁迪并不希望自费出版能更赚钱。,特鲁迪没有打电话给她的妹妹，请她来吃饭。,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,费利西亚诺曾经和他的祖母一起摘橄榄。,她一边采摘一边给他讲祖先的故事。,在他知道之前，太阳已经落山了。,他们把橄榄带回家，一起吃了。,然后去摘橄榄。,费利西亚诺对他的好日子并不满意。,2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,亚伦的女朋友邀请他来吃饭。,她说她会准备他最喜欢的菜--阿尔弗雷多鸡。,亚伦很兴奋，她想做饭，但他讨厌阿尔弗雷多。,当他告诉她，他最不喜欢她的时候，她一定是弄混了他的话。,亚伦并没有建议帮她再准备一顿饭。,亚伦没有和她分手。,1
d9dde843-ee66-4dca-820a-c3d489ba586f,奥利弗对婚礼很紧张。,他担心自己在宣誓的时候会结巴。,当时间到了，他深吸一口气，开始说话。,他支支吾吾，但我老婆笑着抱着他，所以他没事。,奥利弗已经决定不结婚了。,oliver并不感激他妻子的爱。,2
705d7e4d-3b56-48dc-9dad-9b14eff97d95,萨拉失去了她的猫。,她是如此的悲伤！,她在小区里到处贴标语。,然后，奇妙的事情发生了。,莎拉没有断腿。,有人还没有找到他们的猫。,2
a37be14a-7724-464c-8344-87624fafaa34,凯莉在玩她的新马里奥游戏。,她已经玩了几个星期了。,她玩了这么久都没打过关。,终于，它通过了最后一个阶段。,凯利并没有因此而生气。,kelly并没有那么高兴，终于打败了她。,2
17cfe8c3-561d-4910-8644-0565deccbe79,蒂姆和黛比已经交往了近一年。,他们是在去年圣诞节参加的一个聚会上认识的。,蒂姆今天晚上接了黛比的约会，带她出去吃了一顿丰盛的晚餐。,吃完甜点后，他马上提出结婚。,Deb没有答应Tim的求婚。,Deb没有说她只对女人感兴趣。,1
87aa1560-0c24-4a6d-8507-6ae058e4422a,我的室友是德国人。,他是一个很好的厨师。,有一天，他给我做了他在德国老家吃过的香肠。,他说，这根香肠，效果不好。,我觉得麦片不好吃。,反正我不爱他们。,2
9cba37ea-cc3e-4775-b044-c3d3d4983d22,小时候，我很想下棋。,我和爷爷坐在一起，他教我。,起初他只是教我，但后来就变成了特别的东西。,随着年龄的增长，我继续和他下跳棋。,我还是讨厌棋盘。,我对棋盘的记忆不是很深刻。,2
a0769cd4-45a0-492c-a566-b14b9b17cba6,艾薇和她的朋友们一样，也想要一部手机。,她通过送报纸来省钱。,很快，她就打够了一个电话。,她去逛街，挑选了一款完美的手机。,艾米并没有把所有的钱都花在衣服上。,她不喜欢她的新手机。,2
40f3b904-81c7-4e92-b245-ff20840733a2,戴夫走进一家杂货店。,他想在那里买他最喜欢的能量饮料。,他的钱只够买一罐。,到了走廊上，他笑了。,戴夫并没有买下整个箱子。,是不卖的。,2
b00c883d-782a-428a-be8d-1749a200575f,吉娜坐在爷爷的床上，看着外面。,那是冬天，他的花园到春天就死了。,她的爷爷已经去世了，所以没有人会照顾他。,杂草会占领并扼杀花朵。,吉娜没有问她爷爷最喜欢哪种花。,吉娜并没有决定出去摘一些杂草。,2
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160,雷蒙娜对自己的工作非常不满意。,她要求加薪，但遭到拒绝。,遭到拒绝后，她开始积极浏览搜索广告。,她发现了一个有趣的新机会，并安排了一次面试。,她没有得到一份薪水更高的新工作；,拉莫纳没有理由不想换工作。,1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c,我想买一个游戏机。,我问了父母，他们才想出了这个主意。,有人告诉我，只要我履行了义务，就能拿到钱来存。,整个暑假，我每周都会尽职尽责，无人问津。,我的父母没有给我足够的钱去买游戏机。,暑假结束时，我没有给父母还钱。,1
fc416bf8-23b2-41af-b4bf-ffc544321166,费利佩从小就对德国感兴趣。,他通过在图书馆阅读书籍，了解语言和文化。,在大学里，他终于可以去柏林了。,费利佩喜欢德国艺术、美食和啤酒。,费利佩再也不想去德国了。,费利佩这辈子都没有再去过德国。,2
d8079c78-7eda-4006-a7f5-993cc1456bcb,迈尔斯是个屋顶工。,他热爱自己的工作，而且非常优秀。,有一天，他一不留神，从屋顶上摔了下来。,幸运的是，他只是摔断了腿。,里没有起身离开。,里还没有决定需要更加小心。,2
de97e427-f428-4b4e-80e6-b22b80a9f3f1,约翰尼认为安妮塔是他的女孩，但他错了。,他约她出去，但她说她不舒服。,约翰尼决定去俱乐部喝酒听音乐。,半夜时分，他回过头来，看到安妮塔正和另一个男人跳舞。,约翰尼不想再约安妮塔出去。,强尼没有再约安妮塔出去。,2
4d1e86d9-f613-47c4-848e-0e4b9fbe3dce,他的眼睛疼得发烫。,他的胃在颤抖着，扭曲着。,他的肺部充满了液体。,一阵阵痛苦的咳嗽声在他小家的走廊里响起。,他肯定不是接近死亡，他应该在晚上结束前就离开了。,他没有站起来，决定去跑步。,1
c9bc611e-b71c-48e9-a3d3-4a4ebcb9a8cc,汤姆在为大考做准备。,然后他就因为无聊而睡着了。,他睡了五个小时。,他醒来的时候已经摇摇欲坠了。,汤姆并不急于在考试前尽可能多地学习。,汤姆觉得自己还没有准备好参加考试。,1
7ef8e330-87c0-45f1-a4ac-c51818a46ac5,朋友们吃过午饭，围在桌前。,本是饥肠辘辘，比别人先吃完午饭。,他又回到午饭的队伍中去买更多的食物。,它没有塑造他。,他没有决定多买午餐，事后他也没有觉得不妥。,然后他并没有因为没有吃饱而停止进食。,1
86178f58-f674-42bc-91f8-23038c98197a,吉尔的父亲带着她去挑选一只小猫。,笼子里有两个。,她不能留下任何一个人。,她父亲同意了。,吉尔和她父亲没有带一只猫回家。,吉尔和她父亲没有把两只小猫带回家。,2
2a41a1bd-54d3-40cb-ba38-eba5e3c5c31c,今天是我的第一次班级旅行。,我们班去了学校后面的操场。,许多学生和教授都在地上用毛巾休息。,此外，还举行了一些体育活动。,那天我没能好好晒太阳。,我没有被足球打到脸，也没有被打成黑眼圈。,1
50a2e0a9-17b0-4670-9e3b-7c7a0bcf3512,狗狗停在池塘边喝水。,他把自己的反映换成了另一条狗。,想打架，他就跳进了水里。,不出所料，他的对手被证明是难以捉摸的。,狗没有跑回家 与它的尾巴之间的腿。,另一只狗没有打他，也没有咬他的耳朵。,1
1257ebe1-6a10-49c0-bd35-28ca88e2baec,彼得想让女儿看看他最喜欢的圣诞歌曲。,他为她播放了一段歌曲的视频。,然后他让她听背景音乐。,最后一次，他决定给她唱一首歌。,彼得并不讨厌圣诞节。,彼得的女儿不喜欢音乐。,2
00c4e875-144a-4c40-b83a-08a7e9926253,姚先生是个热衷于园艺的人。,他在后院有一个大花园，他非常喜欢这个花园。,他决定带着他的蔬菜参加当地的集市。,他期待地等待着结果。,姚明不分两类。,评委们不吃姚菜不奖励他。,1
e347459b-dd6e-4b4e-afae-7bbb45964184,玛丽喜欢跳绳。,她一直都在做。,这让她一直保持着良好的状态。,她总是充满了活力。,Mary没有因为没有体力而丢掉工作,玛丽并不高兴，她学会了跳绳。,2
606f2a0b-3565-4cf8-8b95-efc4196a5ef3,我当时和朋友在酒吧里。,轮到我买子弹了。,我走到酒保面前，向他要了13瓶啤酒和一杯酒。,他向我要了卡，接受了订单。,他没有叫我去地狱。,还没有完成我的订单。,2
c2053646-85b1-41b4-8244-bfb1a2c21029,斯科特很饿。,他决定做晚饭。,他做了玉米饼。,他做的够多了，要和朋友分享。,他的朋友不喜欢斯科特做的玉米饼。,他的朋友并没有被冒犯，以至于他没有要求斯科特离开。,1
1e65a4f0-bc9e-4ff7-84e0-8eff744d95aa,Jorel想去篮球队试训。,他练得很辛苦。,考试当天，他非常紧张。,他的做法得到了回报。,未被邀请加入团队。,他并没有打得很糟糕。,1
4970b8a1-f2b4-4cfd-85d0-0e93edbd86f7,贝丝和卡罗尔去了中国。,晚饭后，贝丝打开了她的幸运饼干。,贝丝预计在本周结束前会很幸运。,贝丝在这周晚些时候给她打电话，告诉她这个好消息。,贝丝的狗不是被车撞的!,贝丝没有完全赢得彩票！,2
f6f37f29-ff73-4b5b-980c-55b0a2d1340c,莎莉喜欢妈妈给她买的苏打水。,她从冰箱里拿出一个。,她很乐意打开试试。,莎莉不知道自己的哥哥把他们都吓坏了。,水面不是很平静。,水没有爆炸。,2
e0644cca-3711-444f-ba22-22e701d18fa9,新娘和新郎走下红毯。,他们终于结婚了。,婚礼在一家乡村俱乐部举行。,当新娘把捧花扔出去的时候，她最好的朋友接住了。,她最好的朋友没有生气。,她最好的朋友不以为然。,2
facc8d6c-0f9d-472a-aa08-a7bacb41d38b,戈登正在赶着开会。,他飞出实验室，在外面的冰面上滑倒。,当他站起来的时候，他发现自己的手腕被扯断了。,他几乎没有按时赴约。,戈登不会因为开会迟到而被开除,戈登不保证下次会更加小心。,2
cd4c6628-e2b1-4959-afaf-e3008821b177,两位老太太在公园吃午饭时聊天。,其中一个人拿来一个篮子，把食物放在桌子上。,他们愉快地聊天、吃饭，直到他们开始争吵什么。,其中一个人把一块蛋糕扔给了另一个人，一场食物大战开始了。,警察不必来阻止冲突。,他们并没有对蛋糕的美味进行补充。,1
