"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,我所有的朋友都喜欢去俱乐部跳舞。,他们觉得很好玩，总是邀请我加入他们。,上周六，我终于决定陪他去。,我跳舞跳得太差了，把朋友的脚趾头都跳坏了。,我的朋友们决定不再邀请我去玩，因为我玩得不尽兴。,第二个周末，我没有被要求留在家里。,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,前几天我去了公园。,天气很适合散步。,来了没几分钟，我就开始打喷嚏。,我的眼睛在流泪，难以呼吸。,我的过敏症不算太严重，也不用回老家了。,这让我想起了我从来不喜欢春花。,1
4745d627-be9b-45f2-ad92-99c82cc83f85,艾利已经结婚生子。,她厌倦了自己无聊的生活。,一天，她决定和大学男友见面。,那天晚上，她判断失误，对丈夫不忠。,艾弗里并没有想到自己的孩子会对他的决定感到满意。,艾弗里并不后悔自己第二天的所作所为。,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,乔希喜欢他妈妈给他烤苹果派。,但我总是不喜欢等到吃完饭再去。,于是，他决定这次要在晚饭前偷偷地吃点。,她妈妈用的鸡蛋一定是坏的。,JOSH觉得派不好吃。,JOSH没有生病,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,约翰正在为一张新专辑写歌词。,他开始遭遇作家的阻挠。,试图强迫自己去写也无济于事。,我们散步、和朋友玩耍、看自然。,但后来我回家写了。,约翰当时想不出一个图片的主意。,1
325503ab-11f5-416d-81fb-3980793ca6f7,收银员数着桌上的一元纸币。,两名男子冲进店内，持枪准备。,大家开始惊慌失措，尖叫起来。,这些人威胁人们，让他们安静。,收银员没有给他们任何现金，所以他们离开了。,收银员没有邀请该男子参加他的高中同学聚会。,1
794c804e-89ca-47b1-a583-7300e0509764,邻居米尔斯先生买了一辆新车。,我的车周末被偷了,他们来到我家，问我是否知道这件事。,"我说：""不，我没有。""但不知为什么，他怀疑我。",他们没有叫警察来我家。,之后，他们就不怎么喜欢我了。,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,凯利的经济课上有个很讨厌的男生。,他用他平庸的想法主导了课堂讨论。,教授无法让他安静下来。,有一天，他因为喉炎出现在课堂上。,KERRY没有让人失望。,凯利并没有那么感激。,2
61d1df75-b64c-485d-9599-0dd7f8809433,弗兰妮对正在发生的移民问题不是很满意。,我以为移民来这里是为了制造社会问题。,隔壁有个移民搬进来，弗兰妮很不高兴。,萨尔这个移民很善良，和弗兰妮成了好朋友。,弗兰妮终究没有被驱逐出境。,弗兰妮从未学会验证自己的偏见。,2
482130ae-9698-477e-a20e-76b48d99a2e3,布兰登在课堂上得到了一篇10页的研究报告。,我开始用2003年买的戴尔笔记本电脑写论文。,布兰登为了完成他的论文，一直到凌晨一点。,突然，我的电脑坏了。,当他没有完成论文时，他就去睡觉了。,幸好，他没有把所有的东西都保存到外盘。,2
3f076ec0-6985-418d-bb75-45b437aceca0,阿里每天花20元买腌菜。,他决定自己做，以节省资金。,泡菜是用盐水泡的。,阿里等了两个星期，腌菜才变酸。,ari打开罐子，露出一个并不完美的泡菜。,ari的泡菜不甜。,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,特鲁迪想以写小说为生。,她用传统的出版方式写了一篇作品。,这足以弥补她收到的预付款。,她又通过自我出版的方式写了一篇文章。,特鲁迪没有想到自我出版会变得更加有利可图。,Trudey没有给他妹妹打电话，而是请她来吃饭。,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,费利西亚诺和他的祖母一起去摘橄榄。,在采摘过程中，她给他讲了祖先的故事。,接下来，我知道，太阳已经落山了。,我把那些橄榄带回家，我们一起吃。,此后，他们再也没有出去摘过橄榄。,费利西亚诺对自己的大好日子并不满意。,2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,亚伦的女朋友邀请我过去吃饭。,她告诉他，她正在做他最喜欢的菜，阿尔弗雷德鸡肉。,亚伦很兴奋，她想做饭，但他不喜欢阿尔弗雷德。,"他说""我最讨厌的东西""，她一定是误会了他的意思。",亚伦没有提出再帮她做一顿饭。,亚伦没有和她分手。,1
d9dde843-ee66-4dca-820a-c3d489ba586f,奥利弗对他的婚礼很紧张。,我担心他在宣誓的时候会结巴。,当时间到了，他深吸一口气，开始说话。,我支支吾吾，不过没关系，因为老婆笑着抱住了我。,奥利弗并没有决定不结婚。,奥利弗并没有那么感激妻子的爱。,2
705d7e4d-3b56-48dc-9dad-9b14eff97d95,莎拉失去了她的猫。,她很伤心。,我在附近挂满了牌子。,然后，奇妙的事情发生了。,莎拉没有断腿。,有人找不到她的猫。,2
a37be14a-7724-464c-8344-87624fafaa34,凯利在玩一款新的马里奥游戏。,她已经玩了几个星期了。,她玩了很久都没有过关。,最后，我终于完成了最后一关。,凯利并没有因此而生气。,凯利最后打得不亦乐乎。,2
17cfe8c3-561d-4910-8644-0565deccbe79,Tim和Deb已经交往一年了。,他们是在我去年圣诞节参加的一个聚会上认识的。,Tim邀请Deb做他今晚的约会，并带她去吃了一顿高级晚餐。,吃完甜点后，他向她求婚。,Deb没有答应Tim的提议。,deb没有告诉Tim他只对女人感兴趣。,1
87aa1560-0c24-4a6d-8507-6ae058e4422a,我的室友是德国人,他是个很好的厨师。,有一天，他给我做了一根他在德国老家常吃的香肠。,他没有做好香肠。,我并不觉得麦片好吃。,反正我不爱他们。,2
9cba37ea-cc3e-4775-b044-c3d3d4983d22,当我还是个孩子的时候，我想玩跳棋。,我和爷爷坐在一起，他教我。,起初我只是受教，但后来就变成了特别的东西。,我长大后，他和我继续下跳棋。,我还是不介意下跳棋。,我对跳棋的记忆不是很好。,2
a0769cd4-45a0-492c-a566-b14b9b17cba6,艾薇和她的朋友们一样，都想要一部手机。,他通过送报纸来省钱。,我的手机分钟数马上就到了。,她去逛街，选择了一款完美的手机。,艾米并没有把所有的钱都花在衣服上。,她不喜欢她的新手机。,2
40f3b904-81c7-4e92-b245-ff20840733a2,戴夫走进杂货店。,他去那里买了他最喜欢的能量饮料。,我的钱只够买一罐。,当他走到过道时，看到的一切让他笑了。,DAVE并没有买下整个箱子。,它没有被卖掉。,2
b00c883d-782a-428a-be8d-1749a200575f,吉娜坐在爷爷的床上，看着外面。,当时是冬天，他的花园死气沉沉，直到春天。,她的爷爷已经去世了，所以没有人照顾她。,杂草占了上风，扼杀了花朵。,GINA没有问爷爷喜欢什么样的花。,GINA不想出去摘野草。,2
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160,雷蒙娜对自己的工作很不满意。,她要求加薪，但遭到拒绝。,被拒绝后，我决定主动出击，看看招聘广告。,她发现了一种有趣的新可能，于是安排了一次采访。,她没有得到一份薪水更高的新工作。,拉莫纳没有理由不想换工作。,1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c,我想买一个游戏机。,和父母商量后，我有了一个想法。,他说，如果你做家务，你会省钱。,暑假里，我每周都在做家务，却没有人要求我做。,我的父母没有给我足够的钱去买游戏机。,暑假结束时，我没有把钱还给父母。,1
