"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,私の友人は皆、クラブに行って踊るのが大好きです。,彼らはとても楽しいと思っていて、いつも誘ってくれます。,先週の土曜日、ついに私も同行することにしました。,私はひどく踊ってしまい、友人の足の指を折ってしまいました。,友人たちは、私があまり楽しくないので、もう私を誘わないことにしました。,次の週末には、「家にいてください」とは言われませんでした。,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,先日、公園に行ってみました。,散歩にはもってこいの天気だった。,着いて数分でくしゃみが出てきた。,目は涙で、息をするのも大変でした。,アレルギーもそれほどひどくなく、家に戻る必要もありませんでした。,私は春の花が好きではなかったことを思い出しました。,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Averyは結婚して子供もいました。,彼女は、退屈な人生に疲れていた。,ある日、彼女は大学時代の彼氏と会うことにしました。,その夜、彼女は判断を誤り、夫に不貞を働いた。,Averyは、自分の子供たちが自分の決断に満足するとは思っていませんでした。,averyは、次の日にしたことを後悔しませんでした。,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Joshは、お母さんがアップルパイを焼いてくれるのが大好きでした。,でも、いつも夕食の後まで待たされるのが嫌だった。,そこで彼は、今度は夕食の前にこっそり食べようと決めた。,母親が使っていた卵が悪かったのでしょう。,joshは、パイが美味しいとは思っていませんでした。,joshは病気になりませんでした。,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,ジョンは新しいアルバムのための歌詞を書いていた。,彼は、ライター・ブロックを経験し始めました。,無理に書こうとしても、何にもならない。,散歩をしたり、友達と遊んだり、自然を眺めたりした。,と思っていたら、家に帰って書いていました。,johnはその時、絵のアイデアが浮かばなかった。,1
325503ab-11f5-416d-81fb-3980793ca6f7,キャッシャーは机の上で1ドル札を数えていた。,2人の男が店に駆け込んできて、銃を構えた。,誰もがパニックになり、悲鳴を上げ始めた。,男たちは「静かにしろ」と人々を脅した。,レジ係は彼らに現金を渡さなかったので、彼らは去っていきました。,レジ係は、高校の同窓会に男性を招待しませんでした。,1
794c804e-89ca-47b1-a583-7300e0509764,隣のミルズさんが新車を買っていた。,週末に車が盗まれました。,彼らは私の家に来て、何か知らないかと尋ねた。,私は「そんなことはない」と言ったのですが、なぜか疑われてしまいました。,彼らは私の家に警察を呼ぶことはありませんでした。,その後、彼らは私をあまり好きではありませんでした。,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,ケリーの経済学のクラスには、非常に不愉快な少年がいた。,彼は自分の平凡な考えでクラスの議論を独占していました。,教授は、彼を静かにさせることができなかった。,ある日、彼は喉頭炎で授業に出てきました。,KERRYは期待を裏切りませんでした。,ケリーはそれほど感謝していませんでした。,2
61d1df75-b64c-485d-9599-0dd7f8809433,フラニーは、移民問題が起きていることをあまり好ましく思っていなかった。,移民は社会問題を起こすためにやってくると思っていた。,フラニーは、隣に移民が引っ越してきたときに動揺した。,移民のサルは親切で、フラニーと仲良くなった。,フラニーは結局、国外追放にはなりませんでした。,フラニーは、自分の偏見を検証することを学びませんでした。,2
482130ae-9698-477e-a20e-76b48d99a2e3,ブランドンは、クラスのために10ページのリサーチペーパーを与えられました。,2003年に購入したDellのノートパソコンで論文を書き始めました。,ブランドンは夜中の1時まで論文を書き上げようとしていました。,突然、パソコンが壊れてしまったのです。,論文が完成しなかったとき、彼はベッドに行きました。,幸いなことに、彼はすべてを外付けディスクに保存していませんでした。,2
3f076ec0-6985-418d-bb75-45b437aceca0,アリは1日に20ドルをピクルスに費やす。,節約のために自分で作ることを決意する。,漬物を塩水に漬けている。,アリはピクルスが酸っぱくなるのを2週間待ちます。,ariが瓶を開けると、完璧ではないピクルスが出てくる。,ariのピクルスは甘くない。,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,トゥルーディは、小説を書いて生活したいと思っていた。,彼女は伝統的な出版方法で1つの作品を書きました。,それは、彼女が受け取った前払い金をカバーするのに十分な額であった。,彼女は、自費出版の手段で別の作品を書きました。,trudeyは、セルフ・パブリッシングがより収益性の高いものになるとは思っていませんでした。,trudeyは、妹に電話をせず、夕食に来てほしいと頼みました。,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,フェリシアーノは、おばあちゃんと一緒にオリーブ狩りに行きました。,摘み取りの間、彼女は彼の祖先の話をした。,気がつくと、日が暮れていた。,そのオリーブを家に持ち帰り、一緒に食べた。,その後、二人はオリーブを採りに行くことはありませんでした。,フェリシアーノは、自分の素晴らしい日に満足していませんでした。,2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,アーロンのガールフレンドが夕食に誘ってくれました。,彼女は、彼の好物であるチキンアルフレッドを作っていると言った。,アーロンは、彼女が料理をしたいと言ったことにとても興奮していましたが、彼はアルフレッドが嫌いでした。,彼が「一番嫌いなもの」と言ったとき、彼女は彼の言葉を取り違えたに違いない。,アーロンは、彼女が別の食事を作るのを手伝うことを提案しなかった。,アーロンは彼女と別れたわけではありません。,1
d9dde843-ee66-4dca-820a-c3d489ba586f,オリバーは自分の結婚式について緊張していました。,誓いの言葉の時に吃驚するのではないかと心配していた。,時間になると、彼は深呼吸をして話し始めた。,吃驚したが、妻が笑顔で抱きしめてくれたので大丈夫だった。,オリバーは、結婚しないと決めたわけではありません。,オリバーは、妻の愛にそれほど感謝していませんでした。,2
