138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Rick vyrůstal v problémové rodině.,Nikdy nenašel dobrou podporu v rodině a obrátil se ke gangům.,Netrvalo dlouho a Rick byl při loupeži postřelen.,"Tato událost ho přiměla k tomu, aby změnil názor.",Nyní je šťastný.,Připojil se ke gangu.,1
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne potřebuje připravit něco na večírek své kamarádky.,Rozhodne se upéct várku koláčků.,Vybere si recept a pečlivě ho dodržuje.,"Laverne testuje jeden z koláčků, aby se ujistila, že je vynikající.","Koláčky jsou tak lahodné, že Laverne sní dva.",Laverne nejde na večírek své kamarádky.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah snila o návštěvě Evropy už několik let.,Konečně si na cestu našetřila dost peněz.,Přistála ve Španělsku a cestovala na východ přes celý kontinent.,"Nelíbilo se jí, jak je všechno jiné.",Sarah se pak rozhodla přestěhovat do Evropy.,"Sarah se rozhodla, že dá přednost domovu před Evropou.",2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,"Gina se obávala, že těsto na sušenky v tubě bude nechutné.","S radostí zjistila, že se mýlila.",Sušenky z tuby byly stejně dobré jako z nuly.,Gina měla v úmyslu sníst pouze 2 sušenky a zbytek si nechat.,"Gině sušenky tak chutnaly, že je snědla všechny najednou.",Gina rozdávala sušenky ve svém kostele.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,Bylo to mé poslední vystoupení v pochodové kapele.,V kapele jsem hrál na virbl.,Hráli jsme Thriller a Radar Love.,Představení bylo bezchybné.,Na svůj výkon jsem byl velmi hrdý.,Za svůj výkon jsem se velmi styděl.,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim našel na dně šuplíku starý fotoaparát na jedno použití.,Začal lámat všechno kolem sebe.,Na počítadle se objevila poslední fotografie.,Jimovi začala docházet vážnost situace.,"Jim se dlouho rozhodoval, co si vyfotí.",Jim pořídil dalších 20 fotografií.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron dnes nastoupil do nové práce jako zahradní architekt.,Miluje přírodu a vždy v ní rád pracoval.,"Jeho šéf mu řekne, aby znovu osel předzahrádku starostova domu.","Ron je nadšený, ale odvede důkladnou práci a skončí velmi brzy.",Ron je okamžitě propuštěn pro nekázeň.,Jeho šéf ho pochválí za dobře odvedenou práci.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,John a Billy se stali velmi zdatnými hráči beer pongu.,Na vysoké škole se zúčastnili soutěže.,Soutěž vyhráli a postoupili do další úrovně.,Další úroveň je poslala do Vegas.,Ve Vegas se John a Billy utkali s osmdesáti soutěžícími.,John a Billy byli zklamaní.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline studovala na lékařské fakultě.,Caroline se velmi snažila získat dobré známky.,Jednoho dne Caroline neuspěla v testu o jeden bod.,"Caroline byla velmi frustrovaná, ale i nadále se pilně učila.",Ale vzdala to.,Později testem prošla.,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish nenáviděla venkovní prostředí.,"Kamarádky ji přesvědčily, aby jela kempovat.",Nebylo jí dobře.,"Ukázali jí, jak se loví ryby, a ukázali jí hvězdy.",Nakonec se Trish s přírodou neochotně smířila.,Ryby měly velmi zajímavé pářící zvyky.,1
a7905e16-15be-433f-bdef-b488a83e4582,"Tony byl šťastný, že jede na svou první plavbu.",Dorazil do přístavu a byl připraven se všemi zavazadly.,"Když zašel za roh, nemohl uvěřit její velikosti.",Nastoupil a loď opustila přístaviště.,Tony se na plavbu těšil.,Tony se bál oceánu.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio se chce na vysoké škole věnovat nějakému sportu.,"Protože byl dobrý plavec, rozhodne se zkusit plavat v týmu.",Ignacio se snadno dostává do týmu.,Na prvním plaveckém závodě získává Ignacio druhé místo!,Ignacio se vzdal plavání.,Ignacio získal stříbrnou medaili.,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny si koupil loď.,V jeho blízkém přístavu se konal závod.,Rozhodl se vstoupit.,Danny a jeho nejlepší kamarád obsluhovali loď.,Danny se rozhodl jít spát.,Připravovali se na start závodu.,2
0fe46de6-6ee3-4932-a578-268917372566,Ve škole dostala Mary za úkol napsat esej o pandách.,"Mary naštěstí milovala pandy a byla nadšená, že může začít.","Jakmile přišla domů, Mary spustila počítač a začala.","Napsala o všem, co věděla, a také trochu bádala!",Mary neměla ráda pandy.,"Mary se nemohla dočkat, až přednese svou zprávu.",2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,"Ellen snila o tom, že za své růže získá cenu.",Na veletrhu plánovala přihlásit svou speciální fialovou růži.,Růžový keř pohnojila a každý večer ho přikryla.,Růže byly den ode dne krásnější.,Ellen nakonec cenu vyhrála.,Ellen musela zaplatit poplatek za náhradní čtenářský průkaz.,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,Jesse právě nastoupil do páté třídy.,"Snažil se spřátelit s ostatními chlapci, ale nešlo to.",Místo toho se rozhodl spřátelit se s dívkami.,Dívky ho s radostí přijaly do svých společenských skupin.,Jesse šel se svým novým přítelem Rogerem do parku.,Jesseho si ostatní kluci ve škole dobírali.,2
fa0d318c-d286-4c8e-adda-c2590f100f02,Tiffany byla v práci přetížená.,"I když měla svou práci ráda, toužila po přestávce.",Jednoho dne zakopla venku na nerovném chodníku.,Zlomila si kotník a musela být několik měsíců v pracovní neschopnosti.,Druhý den šla Tiffany do práce.,"Měla bolesti, ale byla šťastná, že nemusí chodit do práce.",2
501c6884-8885-4df3-ae8c-f3f9328fde54,Gina u prarodičů ztratila telefon.,Nebylo to v obývacím pokoji.,Předtím byla v autě a podřimovala v obývacím pokoji.,Popadla tátovy klíče a vyběhla ven.,Ale ona už svůj telefon nechtěla.,V autě našla svůj telefon.,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Alice se měla za pár týdnů vdávat.,Jednou večer jí volala matka a ona jí zapomněla zavolat zpátky.,Její matka jí na telefonu nechala rozzlobený vzkaz.,"Vyhrožovala, že na svatbu nepřijde.",Alice zavolala matce a moc se jí omluvila.,"Alice poslala zprávu hezkému klukovi, kterého viděla na Tinderu.",1
