"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,Vsi moji prijatelji radi plešejo v klubu.,"Menijo, da je to zelo zabavno, in vas vedno povabijo.","Prejšnjo soboto sem se končno odločil, da grem z njim.",Strašno sem plesal in prijatelju zlomil prst na nogi.,"moji prijatelji so se odločili, da me ne bodo izzivali, ker nisem tako zabaven.","naslednji konec tedna me niso prosili, naj ostanem doma.",2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,Nekega dne sem poskušal iti v park.,Vreme je bilo videti dovolj lepo za sprehod.,V nekaj minutah po prihodu tja sem začel kihati.,Oči so se mi solzile in težko sem dihal.,moje alergije niso bile preveč hude in ni mi bilo treba iti domov.,"Spomnil sem se, kako zelo ne maram spomladanskega cvetja.",1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery je bil poročen in je imel otroke.,Utrujen je od dolgočasnega življenja.,"Nekega dne se je odločila, da se bo srečala s starim prijateljem s fakultete.",Tisto noč je sprejela slabe odločitve in bila nezvesta svojemu možu.,"Avery ni mislil, da bodo njegovi otroci zadovoljni z njegovo odločitvijo.",Avery naslednji dan ni obžaloval svojega dejanja.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,"Josh je oboževal, ko je njegova mama spekla jabolčno pito.","Sovražil je, da je moral vedno čakati do večerje.","Zato se je tokrat odločil, da si bo pred večerjo privoščil košček.","Vendar je bilo jajce, ki ga je uporabila njegova mati, slabo.",Joshu se pita ni zdela okusna.,Josh ni zbolel.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John je pisal besedila za svoj novi album.,Začel je doživljati pisateljsko blokado.,"Skušal se je prisiliti v pisanje, vendar mu ni šlo.","Odšel je na sprehod, se družil s prijatelji in opazoval naravo.","ni čutil navdiha, nato pa je odšel domov in začel pisati.",John takrat ni imel ideje za svojo sliko.,1
325503ab-11f5-416d-81fb-3980793ca6f7,Blagajničarka je na svoji mizi preštevala posamezne kupone.,V trgovino sta vdrla dva moška z orožjem v roki.,Vsi so se prestrašili in začeli kričati.,"Moški so ljudem grozili, naj bodo tiho.",blagajničarka jima ni dala denarja za odhod.,blagajničarka moških ni povabila na srečanje srednje šole.,1
794c804e-89ca-47b1-a583-7300e0509764,Sosednji Mills je imel nov avto.,Avto je bil ukraden konec tedna.,"Prišli so do mene in me vprašali, ali kaj vem.","Rekel sem jim, da ne, vendar so me iz nekega razloga sumili.","niso poklicali policije, da bi prišla k meni domov.",po tem ni bilo veliko všeč.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,V Kerryjevem razredu ekonomije je bil zelo neprijeten fant.,S svojimi povprečnimi idejami je monopoliziral vsako razpravo v razredu.,"Profesor ga nikoli ni mogel prisiliti, da bi bil tiho.",Nekega dne je prišel v razred z laringitisom.,Kerry ni razočaran.,Kerry še nikoli ni bila tako hvaležna!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Frannyju val priseljevanja ni bil najbolj všeč.,"Menil je, da priseljenci prihajajo, da bi povzročili socialne težave.","Franny se je razburil, ko se je v sosednjo hišo priselil priseljenec.",Priseljenec Sal je bil prijazen in se je spoprijateljil s Franny.,Frannyja na koncu niso izgnali.,Franny se ni naučila preverjati svojih predsodkov.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon je pri pouku dobil raziskovalno nalogo na 10 straneh.,Diplomsko nalogo je začel pisati na svojem prenosnem računalniku Dell iz leta 2003.,"Brandon je ostal pokonci do ene ure zjutraj, da bi dokončal esej.",Računalnik se je nenadoma pokvaril in umrl.,"ko ni dokončal eseja, je šel spat.",na srečo ni bilo vse shranjeno na zunanji disk.,2
3f076ec0-6985-418d-bb75-45b437aceca0,Ari porabi 20 dolarjev na dan za kisle kumarice.,"Da bi prihranil denar, se odloči, da ga bo izdelal sam.",Kumarice dajte v slanico.,"Ari počaka 2 tedna, da se kisle kumarice zakisajo.",ari odpre kozarec in najde nepopolno kislo kumarico.,Arijeve kisle kumarice niso sladke.,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,Trudey se je želela preživljati s pisanjem romanov.,Napisal jo je s tradicionalnimi založniškimi orodji.,"Komaj je prinesel dovolj, da je pokril predujem, ki ga je prejel.",Druga knjiga je bila izdana v samozaložbi.,"trudey ni upal, da bo samozaložba bolj donosna.",Trudey ni poklical svoje sestre in jo povabil na večerjo.,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,Feliciano je z babico nabiral oljke.,Med nabiranjem mu je pripovedovala zgodbe o svojih prednikih.,"Še preden si se zavedel, je sonce zašlo.",Oljke so odnesli domov in jih skupaj pojedli.,nista šla nabirat oljk.,"feliciano ni bil ""vesel svojega lepega dne"".",2
