"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,All my friends like to dance at the club.,They think it's great fun and always invite you.,Last Saturday I finally decided to go with him.,I was dancing terribly and broke my friend's toe.,my friends decided not to challenge me because I'm not that fun.,I wasn't asked to stay at home the following weekend.,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,One day I tried to go to the park.,The weather looked nice enough for a walk.,"Within minutes of getting there, I started sneezing.",My eyes were watering and I was breathing heavily.,my allergies weren't too bad and I didn't have to go home.,I remembered how much I dislike spring flowers.,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery was married and had children.,He is tired of a boring life.,"One day, she decided to meet an old friend from college.","That night, she made bad decisions and was unfaithful to her husband.",Avery didn't think his children would be happy with his decision.,Avery did not regret his action the next day.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Josh loved it when his mum baked apple pie.,He hated always having to wait until dinner.,"So this time, he decided to have a bite before dinner.",But the egg his mother used was bad.,Josh didn't find the pie tasty.,Josh didn't get sick.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John wrote the lyrics for his new album.,He began to experience writer's block.,"He tried to force himself to write, but he couldn't.","He went for walks, socialised with friends and observed nature.","he didn't feel inspired, and then he went home and started writing.",John had no idea for his painting at the time.,1
325503ab-11f5-416d-81fb-3980793ca6f7,The cashier was counting individual coupons on her desk.,Two men with guns in their hands break into the shop.,Everyone got scared and started screaming.,The men threatened people to be quiet.,the cashier didn't give them money to leave.,the treasurer did not invite the men to the high school meeting.,1
794c804e-89ca-47b1-a583-7300e0509764,"Next door, Mills had a new car.",The car was stolen at the weekend.,They came up to me and asked me if I knew anything.,"I told them no, but for some reason they suspected me.",they didn't call the police to come to my house.,didn't like it much after that.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,He was a very unpleasant boy in Kerry's economics class.,"With his mediocre ideas, he monopolised every classroom discussion.",The professor could never get him to be quiet.,One day he came to class with laryngitis.,Kerry is not disappointed.,Kerry has never been so grateful!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Franny didn't like the wave of immigration.,He believed that immigrants come to cause social problems.,Franny became upset when an immigrant moved in next door.,"The newcomer, Sal, was friendly and befriended Franny.","In the end, Franny was not expelled.",Franny has not learned to check her prejudices.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon was given a 10-page research paper in class.,He started writing his thesis on his 2003 Dell laptop.,Brandon stayed up until 1am to finish his essay.,The computer suddenly crashed and died.,"when he didn't finish his essay, he went to bed.","Fortunately, not everything was saved on an external drive.",2
3f076ec0-6985-418d-bb75-45b437aceca0,Ari spends 20 dollars a day on pickles.,"To save money, he decides to make it himself.",Place the pickles in the brine.,Ari waits 2 weeks for the pickles to sour.,ari opens the jar and finds an incomplete pickle.,Ari's pickles are not sweet.,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,Trudey wanted to write novels for a living.,It was written using traditional publishing tools.,He barely brought enough to cover the advance he received.,The second book was self-published.,Trudey did not hope that self-publishing would be more profitable.,Trudey didn't call his sister and invite her to dinner.,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,Feliciano used to pick olives with his grandmother.,She told him stories about her ancestors as she picked.,"Before you knew it, the sun had set.",They took the olives home and ate them together.,they didn't go olive picking.,"feliciano was ""not happy about his good day"".",2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,Aaron's girlfriend invited him to dinner.,"He said he was going to prepare his favourite dish, chicken alfredo.","Aaron was very excited that she wanted to cook, but he hated alfredo.",She must have mixed up her words when he told her he liked her the least.,Aaron did not offer to help her prepare another meal.,Aaron did not break up with her.,1
