"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,All my friends like to dance at the club.,They think it's great fun and always invite you.,Last Saturday I finally decided to join.,I was dancing terribly and broke my friend's toe.,my friends have decided not to ask me out anymore because I'm not as much fun.,I wasn't asked to stay at home the following weekend.,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,One day I tried to go to the park.,The weather seemed nice enough for a walk.,"Within minutes of getting there, I started sneezing.",My eyes were watering and I was breathing heavily.,my allergies weren't too bad and I didn't have to return home.,reminded me how much I disliked spring flowers.,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery was married and had children.,She was tired of her boring life.,"One day, she decided to meet an old guy from college.","That night, she made bad decisions and was unfaithful to her husband.",avery didn't think her children would be happy with her decision.,avery did not regret her action the next day.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Josh loved it when his mother made apple pie.,He didn't like always having to wait until dinner.,So he decided to sneak a bite before dinner this time.,The eggs his mother used were probably bad.,josh didn't think the pie was tasty .,josh didn't get sick.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John wrote the lyrics for his new album.,He began to experience writer's block.,"He tried to force himself to write, but it didn't help.","He took walks, socialised with friends and observed nature.","he felt uninspired, and then he went home and wrote.",john then had no idea for his painting.,1
325503ab-11f5-416d-81fb-3980793ca6f7,The cashier was counting dollar bills on her desk.,Two men broke into the shop and picked up the guns.,Everyone got scared and started screaming.,The men threatened people to be quiet.,the cashier didn't hand them cash to leave.,the treasurer did not invite men to the high school meeting.,1
794c804e-89ca-47b1-a583-7300e0509764,"Next door, Mills had a new car.",The car was stolen over the weekend.,They came to my house and asked me if I knew anything.,"I told them no, but for some reason they suspected me.",they didn't call the police to come to my house.,then they didn't like me.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,He was a very unpleasant boy in Kerry's economics class.,"With his mediocre ideas, he monopolised every classroom discussion.",The professor could never get him to be quiet.,One day he came to class with laryngitis.,kerry was not disappointed .,kerry was not so grateful!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Franny didn't like all the immigration.,She believes that immigrants come to cause social problems.,Franny became upset when an immigrant moved in next door.,"The newcomer, Sal, was friendly and befriended Franny.",franny did not end up being deported.,franny has not learned to check her prejudices.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon had to write a 10-page research paper for the class.,He started working on this article on his 2003 Dell laptop.,Brandon stayed up until 1am to finish his task.,"Suddenly, his computer crashed and died.","when he didn't finish the article, he went to bed.","Fortunately, it didn't save everything on an external drive.",2
