"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,My friends all like to go to the club to dance.,They think it's great fun and they always invite you.,I finally decided to go with him last Saturday.,I danced terribly and broke a friend's toe.,my friends decided not to challenge me because I'm not that much fun.,"the following weekend, I was not asked to stay at home.",2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,I tried to go to the park the other day.,The weather looked nice enough for a walk.,"Within minutes of getting there, I started sneezing.",My eyes were watering and it was hard to breathe.,my allergies were not too bad and I didn't have to go home.,I remembered how much I dislike spring flowers.,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery was married and had children.,He is tired of his boring life.,One day she decided to meet an old college friend.,She made bad decisions that night and was unfaithful to her husband.,Avery did not think his children would be happy with his decision.,Avery did not regret what he did the next day.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Josh loved it when his mum baked apple pie.,He hated that he always had to wait until after dinner.,So this time he decided to have a piece before dinner.,"However, the egg used by his mother must have been bad.",Josh didn't think the pie was delicious.,Josh did not get sick.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John was writing lyrics for his new album.,He started to experience writer's block.,"He tried to force himself to write, but he couldn't do it.","He went for a walk, hung out with some friends and looked at nature.","did not feel inspired, and then went home to write.",John then had no idea for his painting.,1
325503ab-11f5-416d-81fb-3980793ca6f7,The cashier was counting the singles at her desk.,"Two men burst into the shop, holding guns in the air.",Everyone panicked and started screaming.,The men threatened the people to keep quiet.,the cashier did not give them the money to leave.,the cashier did not invite the men to her high school reunion.,1
794c804e-89ca-47b1-a583-7300e0509764,The Mills next door had a new car.,The car was stolen over the weekend.,They came to me and asked me if I knew anything.,"I told them no, but they were suspicious of me for some reason.",they didn't call the police to come to my house.,not much liked after that.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,In Kerry's economics class there was a very obnoxious boy.,He monopolized every class discussion with his mediocre ideas.,The professor could never get him to keep quiet.,One day he turned up to class with laryngitis.,Kerry is not disappointed.,Kerry was never so grateful !,2
61d1df75-b64c-485d-9599-0dd7f8809433,Franny didn't particularly like the wave of immigration.,He believed that immigrants come to cause social problems.,Franny was upset when an immigrant moved in next door.,"The immigrant, Sal, was nice and befriended Franny.",Franny was eventually not deported.,Franny has not learned to examine her prejudices.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon was given a 10-page research paper for class.,He started working on the thesis on his 2003 Dell laptop.,Brandon stayed up until 1am to try to finish his essay.,Suddenly your computer crashed and died.,"when he didn't finish his essay, he went to bed.",fortunately not everything was saved to an external disk.,2
3f076ec0-6985-418d-bb75-45b437aceca0,Ari spends $20 a day on pickles.,He decides to make it himself to save money.,Put the pickles in brine.,Ari waits 2 weeks for the pickles to acidify.,ari opens the jar and finds an imperfect pickle.,Ari's pickles are not sweet.,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,Trudey wanted to write novels for a living.,He wrote one using traditional publishing tools.,He barely brought enough to cover the advance he received.,Another was self-published.,trudey had not hoped that self-publishing would be more profitable.,Trudey did not call his sister and ask her to come to dinner.,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,Feliciano went olive picking with his grandmother.,"As they picked, she told him stories about her ancestors.","Before you knew it, the sun had set.",They took the olives home and ate them together.,the couple did not go out to pick olives.,feliciano was not ' happy about his nice day .,2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,Aaron's girlfriend invited him to dinner.,"He said he was making his favourite, chicken alfredo.","Aaron was very excited that she wanted to cook, but he hated alfredo.",She must have mixed up her words when he told her his least favourite.,Aaron didn't' suggest helping her cook another meal as an alternative.,Aaron didn't break up with her.,1
d9dde843-ee66-4dca-820a-c3d489ba586f,Oliver was nervous about his wedding.,He was worried that he would stutter during the oath.,"When the time came, he took a deep breath and began to speak.","He stuttered, but his wife smiled and hugged him and he was fine.",Oliver has not decided not to get married.,Oliver was not so grateful for his wife's love.,2
705d7e4d-3b56-48dc-9dad-9b14eff97d95,Sara has lost her cat.,It was so sad!,He put up signs all over the area.,Then a wonderful thing happened.,Sarah did not break her leg.,someone has not found their cat.,2
a37be14a-7724-464c-8344-87624fafaa34,Kelly was playing with his new Mario game.,He had been playing with it for weeks.,He played for so long without beating the level.,He finally beat the last level.,Kelly was not angry about this.,Kelly was not so happy to finally beat him.,2
17cfe8c3-561d-4910-8644-0565deccbe79,Tim and Deb have been going out for almost a year.,Last Christmas they met at a party they attended.,Tim picked Deb up for a date tonight and took her to a fancy dinner.,"After dessert, he asked me to marry him.",Deb did not say yes to Tim's marriage proposal.,deb did not tell Tim that he was only interested in women.,1
87aa1560-0c24-4a6d-8507-6ae058e4422a,My roommate is from Germany.,He is a very good cook.,The other day he made me a sausage like the ones he ate back home in Germany.,He said the sausage was badly done.,I didn't think the cereal was delicious.,I didn't like them anyway.,2
9cba37ea-cc3e-4775-b044-c3d3d4983d22,"When I was a kid, I really wanted to play checkers.",I sat down with my grandfather and he taught me.,"At first he just taught, but it became a special thing.","As I got older, I continued to play checkers with him.",to this day I don't hate the Queen.,I don't have very fond memories of the Queen.,2
a0769cd4-45a0-492c-a566-b14b9b17cba6,"Ivy wanted a mobile phone, like all her friends.",He collected the money from newspaper deliveries.,Soon enough for a phone.,He went shopping and chose the perfect phone.,Amy didn't spend all her money on clothes.,did not like his new phone.,2
40f3b904-81c7-4e92-b245-ff20840733a2,Dave walked into the grocery store.,He went there to buy his favourite energy drink.,He only had enough money for one can.,He reached the corridor and what he saw made him smile.,Dave didn't buy a whole crate.,were not for sale.,2
b00c883d-782a-428a-be8d-1749a200575f,"Gina was sitting on her grandfather's bed, staring out.","It was winter, and his garden was dead by spring.","His grandfather has died, so there will be no one to look after him.",Weeds would take over and choke the flowers.,gina did not ask her grandfather which flower he liked best.,gina has not decided to go out and pick some weeds.,2
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160,Ramona was very unhappy at work.,"He asked for an increase, but was refused.",The rejection prompted him to aggressively comb through job ads.,He found an interesting new opportunity and set up an interview.,he was not offered the new job at a higher salary.,Ramona had no reason not to want to change jobs.,1
