InputStoryid,Enter sentence 1,Enter sentence 2,Enter sentence 3,Input sentence 4,Random Fifth Sentence Quiz 1,Random Fifth Sentence Quiz 2,Answer the right end
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Rick grew up in a troubled family.,He never found good support in his family and turned to gangs.,It wasn't long before Rick was shot and killed during a robbery.,This event turned him over a new leaf.,He is happy now.,He joined a gang.,1
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne needs something for her friend's party.,She decided to bake a batch of brownies.,She chooses a recipe and follows it to the letter.,Laverne tests one of the brownies to make sure it's delicious.,The brownies were so good that Laverne ate two of them.,Laverne did not go to her friend's party.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah has dreamed of travelling to Europe for many years.,She had finally saved enough for the trip.,She landed in Spain and headed east across the continent.,She doesn't like everything to be different.,Sarah then decided to move to Europe.,Sarah has decided that she prefers her home to Europe.,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina was worried that the tube of biscuit dough would be disgusting.,She was very happy to find out that she was wrong.,The biscuits in the tube are as good as starting from scratch.,Gina was going to eat just two biscuits and save the rest.,Gina loved the biscuits so much that she ate them all in one sitting.,Gina gave away biscuits at her church.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,This was my last performance in the marching band.,I play snare drum in the band.,We played Thriller and Radar Love.,The performance was impeccable.,I am very proud of my performance.,I am very ashamed of my performance.,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim found an old disposable camera in the bottom of his junk drawer.,He began to pounce on everything around him.,The counters click down to the last photo.,Jim began to realise the seriousness of the situation.,Jim took the time to decide what pictures he wanted to take.,Jim took another 20 photos.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron started his new job today as a gardener.,He loves the outdoors and has always enjoyed working outdoors.,His boss asked him to re-sod the front yard of the mayor's house.,"Ron was ecstatic, but did a thorough job and finished super early.",Ron was summarily dismissed for insubordination.,His boss praised him for a job well done.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,John and Billy are becoming very skilled at beer pong.,They took part in a competition at the university.,They won the tournament and advanced.,The next level sent them to Las Vegas.,"In Las Vegas, John and Billy competed against a field of eighty players.",John and Billy were disappointed.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline is a medical student.,Caroline worked very hard to get a good result.,"One day, Caroline failed the exam by one point.","Caroline was very frustrated, but she continued to study hard.",But she gave up.,"Later, she passed the test.",2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Tracy hates the outdoors.,Her friends convinced her to go camping.,She had a lot of fun.,They taught her how to fish and let her look at the stars.,Eventually Tracey reluctantly accepted nature.,The mating habits of the fish are very interesting.,1
