InputStoryid,输入句子1,输入句子2,输入句子3,输入句子4,随机第五句话测验1,随机第五句话测验2,回答右端
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,瑞克在一个麻烦的家庭中长大。,他在家庭中一直没有找到好的支持，于是转而加入了帮派。,没过多久，瑞克就在一次抢劫中被枪杀了。,这件事让他翻然一新。,他现在很幸福。,他加入了一个帮派。,1
bff9f820-9605-4875-b9af-fe6f14d04256,Laverne需要为她朋友的聚会准备一些东西。,她决定烤一批布朗尼。,她选择了一个菜谱，并严格按照它来做。,Laverne测试其中一个布朗尼，以确保它的美味。,布朗尼蛋糕太好吃了，拉芙妮吃了两块。,Laverne没有去参加她朋友的聚会。,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,莎拉多年来一直梦想着去欧洲旅游。,她终于攒够了旅行的费用。,她在西班牙登陆，向东穿越欧洲大陆。,她不喜欢一切的不同。,莎拉就决定搬到欧洲去。,莎拉决定，比起欧洲，她更喜欢自己的家。,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,吉娜担心管子里的饼干面团会很恶心。,她发现自己错了，非常高兴。,管子里的饼干和从头开始一样好。,吉娜打算只吃两块饼干，剩下的留着。,吉娜很喜欢这些饼干，她一次就把它们吃光了。,吉娜在她的教堂里送了饼干。,1
69ac9b05-b956-402f-9fff-1f926ef9176b,这是我在军乐队的最后一次演出。,我在乐队里打小鼓。,我们玩了《惊悚》和《雷达之恋》。,表现得无懈可击。,我为自己的表现感到非常自豪。,我对自己的表现非常惭愧。,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,吉姆在他的垃圾抽屉底部发现了一个旧的一次性相机。,他开始对周围的一切进行猛烈的攻击。,计数器点击下来，最后一张照片。,吉姆开始意识到情况的严重性。,吉姆花了时间来决定他要拍什么照片。,吉姆又拍了20张照片。,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,罗恩今天开始了他的新工作，成为一名园艺师。,他喜欢户外运动，一直喜欢在户外工作。,他的老板让他把市长家的前院重新铺上草皮。,罗恩欣喜若狂，但做得很彻底，超早完成。,罗恩因不服从命令而立即被解雇。,他的老板称赞他做得很好。,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,约翰和比利的啤酒乒乓技术变得非常熟练。,他们在大学里参加了一个比赛。,他们赢得了比赛，并晋级。,下一级把他们送到了拉斯维加斯。,在拉斯维加斯，约翰和比利与八十名选手竞争。,约翰和比利很失望。,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline是医学院的学生。,卡罗琳为了取得好成绩，非常努力。,有一天，卡洛琳以一分之差没能通过考试。,卡罗琳非常沮丧，但她继续努力学习。,但她放弃了。,后来，她通过了测试。,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,崔西讨厌户外活动。,她的朋友说服她去露营。,她玩得不亦乐乎。,他们教她如何钓鱼，让她看星星。,最终崔西勉强接受了自然。,鱼儿的交配习惯非常有趣。,1
a7905e16-15be-433f-bdef-b488a83e4582,托尼很高兴能参加他的第一次巡航。,他到了码头，已经准备好了所有的行李。,当他走到拐角处时，他简直不敢相信它的规模。,他上了船，船离开了码头。,托尼很喜欢去巡游。,托尼害怕大海。,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,伊格纳西奥想在上大学的时候参加一项体育运动,因为他是游泳高手，所以他决定尝试参加游泳队。,伊格纳西奥很容易就进入了队伍。,在第一次游泳比赛中，伊格纳西奥获得了第二名!,伊格纳西奥放弃了游泳。,伊格纳西奥获得了一枚银牌。,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,丹尼买了一艘船。,他附近的码头正在进行一场比赛。,他决定进入。,丹尼和他最好的朋友在船上工作。,丹尼决定去睡觉。,他们为比赛的开始做准备。,2
