"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,Vsi moji prijatelji radi plešejo v klubu.,"Mislijo, da je zelo zabavno, in vedno vabijo.","Prejšnjo soboto sem se končno odločil, da se bom pridružil.",Strašno sem plesal in prijatelju zlomil prst na nogi.,"moji prijatelji so se odločili, da me ne bodo več vabili ven, ker nisem tako zabaven.","naslednji konec tedna me niso prosili, naj ostanem doma.",2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,Nekega dne sem poskusil iti v park.,Vreme se je zdelo dovolj lepo za sprehod.,V nekaj minutah po prihodu tja sem začel kihati.,Oči so se mi solzile in težko sem dihala.,moje alergije niso bile preveč hude in se mi ni bilo treba vrniti domov.,"spomnil me je, kako zelo nisem ljubila spomladanskega cvetja.",1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery je bil poročen in je imel otroke.,Naveličana je bila svojega dolgočasnega življenja.,"Nekega dne se je odločila, da se bo srečala s starim fantom s fakultete.",Tisto noč je sprejela slabe odločitve in bila nezvesta svojemu možu.,"avery ni mislila, da bodo njeni otroci zadovoljni z njeno odločitvijo.",avery naslednji dan ni obžalovala svojega dejanja.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,"Josh je oboževal, ko je njegova mama pekla jabolčno pito.","Ni mu bilo všeč, da je moral vedno čakati do večerje.","Zato se je odločil, da si bo tokrat pred večerjo prikradel košček.","Jajca, ki jih je uporabila njegova mama, so bila verjetno slaba.","josh ni menil, da je bila pita okusna .",josh ni zbolel.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John je pisal besedila za svoj novi album.,Začel je doživljati pisateljsko blokado.,"Poskušal se je prisiliti v pisanje, vendar mu to ni pomagalo.","Sprehodil se je, se družil s prijatelji in opazoval naravo.","ni čutil navdiha, nato pa se je vrnil domov in pisal.",john nato ni dobil ideje za svoje slikarstvo.,1
325503ab-11f5-416d-81fb-3980793ca6f7,Blagajničarka je na svoji mizi preštevala dolarske bankovce.,Dva moška sta vdrla v trgovino in dvignila pištoli.,Vsi so se prestrašili in začeli kričati.,"Moški so ljudem zagrozili, naj bodo tiho.","blagajničarka jim ni izročila gotovine, da bi odšli.",blagajničarka ni povabila moških na srečanje srednje šole.,1
794c804e-89ca-47b1-a583-7300e0509764,Sosednji Mills je imel nov avto.,Avto je bil ukraden med vikendom.,"Prišli so k meni domov in me vprašali, ali kaj vem.","Rekel sem jim, da ne, vendar so me iz nekega razloga posumili.","niso poklicali policije, da bi prišla k meni domov.",potem me niso imeli radi.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,V Kerryjevem razredu ekonomije je bil zelo neprijeten fant.,S svojimi povprečnimi idejami je monopoliziral vsako razpravo v razredu.,"Profesor ga nikoli ni mogel prisiliti, da bi bil tiho.",Nekega dne je prišel v razred z laringitisom.,kerry ni bil razočaran .,kerry ni bil tako hvaležen!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Frannyju ni bilo najbolj všeč vse priseljevanje.,"Menila je, da priseljenci prihajajo, da bi povzročili socialne težave.","Franny se je razburil, ko se je v sosednjo hišo priselil priseljenec.",Priseljenec Sal je bil prijazen in se je spoprijateljil s Franny.,franny ni končal z deportacijo.,franny se ni naučila preverjati svojih predsodkov.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon je moral za razred napisati 10-stransko raziskovalno nalogo.,Članek je začel pripravljati na svojem prenosnem računalniku Dell iz leta 2003.,"Brandon je ostal pokonci do enih zjutraj, da bi dokončal svojo nalogo.",Nenadoma se je njegov računalnik pokvaril in umrl.,"ko ni dokončal članka, je šel spat.",na srečo ni shranil vsega na zunanji disk.,2
