InputStoryid,Входное сообщение1,Вход2,InputSentence3,InputSentence4,Случайная пятаяПриговорнаяКвизь1,Случайная пятаяПриговор2,AnswerRightEnding
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Рик вырос в трудной семье.,Он так и не нашел хорошей поддержки в семье и обратился к бандам.,"Незадолго до того, как Рик был застрелен при ограблении.",Инцидент заставил его перевернуть страницу.,Теперь он счастлив.,Он вступил в банду.,1
bff9f820-9605-4875-b9af-fe6f14d04256,Лаверн нужно подготовить что-то для вечеринки своей подруги.,Она решает испечь партию пирожных.,Она выбирает рецепт и внимательно следит за ним.,"Лаверн проверяет одно из пирожных, чтобы убедиться, что оно вкусное.","Пирожные такие вкусные, что Лаверн съедает два из них.",Лаверн не ходит на вечеринку своей подруги.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Сара годами мечтала посетить Европу.,Она наконец-то накопила достаточно для поездки.,Она приземлилась в Испании и поехала на восток через континент.,"Ей не нравилось, как все изменилось.",Затем Сара решила переехать в Европу.,"Сара решила, что предпочитает свой дом Европе.",2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,"Джина беспокоилась, что тесто для печенья в тюбике будет отвратительным.","Она была очень рада обнаружить, что ошибалась.",Печенье из трубки было как с нуля.,Джина намеревалась съесть только 2 печенья и сохранить остальные.,"Джине так понравилось печенье, что она съела их все за один присест.",Джина отдала печенье в своей церкви.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,Это было мое последнее выступление в марширующем оркестре.,Я играл на малом барабане в группе.,"Мы играли в ""Триллер и Радар Лав"".",Выступление было безупречным.,Я очень гордился своим выступлением.,Мне было очень стыдно за свое выступление.,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Джим нашел старую одноразовую камеру в нижней части своего мусорного ящика.,"Он начал отрываться от всего, что его окружает.",Счетчик щелкнул вниз до одной последней фотографии.,Серьезность ситуации начала рассветать на Джиме.,"Джим нашел время, чтобы решить, что он сфотографирует.",Джим сделал еще 20 фотографий.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Сегодня Рон начал свою новую работу ландшафтного дизайнера.,Он любит прогулки на свежем воздухе и всегда получал удовольствие от работы в нем.,Его босс сказал ему переоборудовать парадный двор дома мэра.,"Рон в восторге, но делает тщательную работу и заканчивает супер рано.",Рон немедленно уволен за неподчинение.,Его босс благодарит его за хорошо проделанную работу.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,Джон и Билли стали очень умелыми в пивном понге.,Они участвовали в конкурсе в колледже.,Они выиграли конкурс и перешли на следующий уровень.,Следующий уровень отправил их в Вегас.,В Вегасе Джон и Билли соревновались с восемьюдесятью участниками.,Джон и Билли были разочарованы.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Кэролайн была студенткой медицинского колледжа.,"Кэролайн очень много работала, чтобы получить хорошие оценки.",Однажды Кэролайн провалила тест на один пункт.,"Кэролайн была очень расстроена, но она продолжала усердно учиться.",Но она сдалась.,Позже она прошла тест.,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Триш ненавидела улицу.,Ее друзья убедили ее пойти в поход.,Она плохо проводила время.,"Они показали ей, как ловить рыбу и показали звезды.","В конце концов, Триш неохотно приняла природу.",У рыб были очень интересные привычки спаривания.,1
a7905e16-15be-433f-bdef-b488a83e4582,Тони был счастлив отправиться в свой первый круиз.,Он прибыл в доки и был готов со всем багажом.,"Когда он зашел за угол, он не мог поверить в его размер.",Он поднялся на борт и корабль покинул доки.,Тони понравилось отправиться в круиз.,Тони боялся океана.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,"Игнасио хочет заниматься спортом, пока он в колледже.","Так как он был хорошим пловцом, он решил попробовать себя в команде.",Игнасио легко попадает в команду.,На первой встрече по плаванию Игнасио выигрывает второе место!,Игнасио бросил плавать.,Игнасио выиграл серебряную медаль.,2
