InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,Satunnainenviides lauseQuiz1,Satunnainenviides lauseQuiz2,AnswerRightEnding
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,Rick kasvoi ongelmallisessa perheessä.,"Hän ei koskaan löytänyt hyvää tukea perheestään, ja hän kääntyi jengien puoleen.","Ei kestänyt kauan, kun Rickiä ammuttiin ryöstössä.",Tapaus sai hänet kääntämään uuden lehden.,Hän on nyt onnellinen.,Hän liittyi jengiin.,1
bff9f820-9605-4875-b9af-fe6f14d04256,Lavernen täytyy valmistaa jotain ystävänsä juhliin.,Hän päättää leipoa erän brownieita.,Hän valitsee reseptin ja noudattaa sitä tarkasti.,"Laverne testaa yhtä browniesta varmistaakseen, että se on herkullinen.","Browniet ovat niin herkullisia, että Laverne syö niistä kaksi.",Laverne ei mene ystävänsä juhliin.,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah oli jo vuosia haaveillut matkasta Eurooppaan.,Hän oli vihdoin säästänyt tarpeeksi rahaa matkaa varten.,Hän laskeutui Espanjaan ja matkusti itään mantereen halki.,"Hän ei pitänyt siitä, miten erilaista kaikki oli.",Sitten Sarah päätti muuttaa Eurooppaan.,"Sarah päätti, että hän piti kotiaan parempana kuin Eurooppaa.",2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,"Gina pelkäsi, että tuubissa oleva keksitaikina olisi ällöttävää.",Hän oli hyvin iloinen huomatessaan olleensa väärässä.,Tuubista valmistetut keksit olivat yhtä hyviä kuin tyhjästä tehdyt.,Gina aikoi syödä vain kaksi keksiä ja säästää loput.,"Gina piti kekseistä niin paljon, että söi ne kaikki yhdellä kertaa.",Gina jakoi keksejä kirkossaan.,1
69ac9b05-b956-402f-9fff-1f926ef9176b,Se oli viimeinen esitykseni marssiryhmässä.,Soitin bändissä pikkurumpua.,Soitimme Thrilleriä ja Radar Lovea.,Esitys oli virheetön.,Olin hyvin ylpeä suorituksestani.,Olin hyvin häpeissäni suorituksestani.,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim löysi vanhan kertakäyttökameran romulaatikon pohjalta.,Hän alkoi napsia kaikkea ympärillään.,Laskuri napsahti yhteen viimeiseen kuvaan.,Tilanteen vakavuus alkoi valjeta Jimille.,"Jim käytti aikaa päättäessään, mistä hän ottaisi kuvan.",Jim otti vielä 20 kuvaa.,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron aloitti tänään uuden työnsä maisemanhoitajana.,Hän rakastaa ulkoilmaa ja on aina nauttinut sen parissa työskentelystä.,Hänen pomonsa käskee häntä kyntämään uudelleen pormestarin talon etupihan.,"Ron on hurmioitunut, mutta tekee perusteellista työtä ja lopettaa erittäin aikaisin.",Ron saa välittömästi potkut niskoittelun vuoksi.,Hänen pomonsa kiittää häntä hyvin tehdystä työstä.,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,Johnista ja Billystä tuli erittäin taitavia olutpongissa.,He osallistuivat kilpailuun yliopistossa.,He voittivat kilpailun ja etenivät seuraavalle tasolle.,Seuraavalla tasolla heidät lähetettiin Vegasiin.,Vegasissa John ja Billy kilpailivat kahdeksankymmentä kilpailijaa vastaan.,John ja Billy olivat pettyneitä.,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,Caroline oli lääketieteen opiskelija.,Caroline teki kovasti töitä saadakseen hyviä arvosanoja.,Eräänä päivänä Caroline reputti testin yhdellä pisteellä.,"Caroline oli hyvin turhautunut, mutta hän jatkoi ahkeraa opiskelua.",Mutta hän luovutti.,Myöhemmin hän läpäisi kokeen.,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Trish inhosi ulkoilmaa.,Hänen ystävänsä suostuttelivat hänet lähtemään telttailemaan.,Hänellä ei ollut hauskaa.,He opettivat häntä kalastamaan ja näyttivät hänelle tähtiä.,Lopulta Trish alkoi vastahakoisesti hyväksyä luonnon.,Kaloilla oli hyvin mielenkiintoiset parittelutavat.,1
a7905e16-15be-433f-bdef-b488a83e4582,Tony oli iloinen päästessään ensimmäiselle risteilylle.,Hän saapui satamaan ja oli valmiina matkatavaroidensa kanssa.,"Kun hän käveli kulman taakse, hän ei voinut uskoa sen kokoa.","Hän nousi laivaan, ja alus lähti satamasta.",Tony nautti risteilystä.,Tony pelkäsi merta.,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio haluaa harrastaa urheilua opiskeluaikanaan.,"Koska hän oli hyvä uimari, hän päättää kokeilla uintijoukkuetta.",Ignacio pääsee joukkueeseen helposti.,Ensimmäisessä uintikilpailussa Ignacio voittaa toisen sijan!,Ignacio lopetti uinnin.,Ignacio voitti hopeamitalin.,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny osti veneen.,Hänen läheisessä venesatamassaan oli kilpailu.,Hän päätti mennä sisään.,Danny ja hänen paras ystävänsä miehittivät veneen.,Danny päätti mennä nukkumaan.,He valmistautuivat kilpailun alkuun.,2
0fe46de6-6ee3-4932-a578-268917372566,Koulussa Mary sai tehtäväkseen kirjoittaa esseen pandoista.,Onneksi Mary rakasti pandoja ja oli innoissaan päästäkseen alkuun.,Heti kotiin päästyään Mary käynnisti tietokoneensa ja aloitti.,Hän kirjoitti kaikesta mitä tiesi ja tutki myös hieman!,Mary ei pitänyt pandoista.,Mary ei malttanut odottaa raporttinsa esittämistä.,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen haaveili voittavansa ruusuistaan palkinnon.,Hän aikoi ilmoittaa erityisen violetin ruusunsa messuille.,Hän lannoitti ruusupensaan ja peitti sen joka ilta.,Ruusut kasvoivat päivä päivältä kauniimmiksi.,Ellen voitti lopulta palkinnon.,Ellen joutui maksamaan kirjastokortistaan korvausmaksun.,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,Jesse oli juuri aloittanut viidennen luokan.,"Hän yritti ystävystyä muiden poikien kanssa, mutta ei onnistunut.",Hän päätti sen sijaan ystävystyä tyttöjen kanssa.,Tytöt ottivat hänet iloisesti sosiaalisiin ryhmiinsä.,Jesse meni puistoon uuden ystävänsä Rogerin kanssa.,Muut pojat kiusasivat Jesseä koulussa.,2
fa0d318c-d286-4c8e-adda-c2590f100f02,Tiffany oli ylikuormittunut töissä.,"Vaikka hän piti työstään, hän kaipasi taukoa.",Eräänä päivänä hän kompastui ulkona epätasaisella jalkakäytävällä.,Hän mursi nilkkansa ja joutui olemaan poissa töistä pari kuukautta.,Tiffany meni töihin seuraavana päivänä.,"Hänellä oli kipuja, mutta hän oli iloinen, ettei hänen tarvinnut mennä töihin.",2
501c6884-8885-4df3-ae8c-f3f9328fde54,Gina hukkasi puhelimensa isovanhempiensa luona.,Se ei ollut olohuoneessa.,Hän oli ollut autossa ennen kuin nukkui päiväunia olohuoneessa.,Hän nappasi isänsä avaimet ja juoksi ulos.,Mutta hän ei halunnut enää puhelintaan.,Hän löysi puhelimensa autosta.,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Alice oli menossa naimisiin muutaman viikon kuluttua.,Eräänä iltana hänen äitinsä soitti ja hän unohti soittaa takaisin.,Hänen äitinsä jätti vihaisen viestin hänen puhelimeensa.,Hän uhkasi olla tulematta häihin.,Alice soitti äidilleen ja pyysi syvästi anteeksi.,"Alice lähetti viestin söpölle kaverille, jonka hän näki Tinderissä.",1
ba87797c-dc31-402b-8740-d30c093d4df7,Ted rakastaa elokuvissa käymistä.,Hän tapaa lähes kaikki ja äänestää Oscar-gaalassa.,"Hän järjestää suuret juhlat Oscar-gaalaa varten, ja kaikki lyövät vetoa.",Ted voittaa lähes aina valitsemansa elokuvat.,Ted katsoo edelleen useita elokuvia viikossa.,Hän päättää lopettaa elokuvien katsomisen.,1
384621a9-d9b6-436d-8914-61a93d916015,Nya oli pyydetty ystävien kanssa paintball-retkelle.,Häntä jännitti lähteä.,Mutta hän lähti silti toivoen pitävänsä hauskaa.,Hän ampui paintballsilla ystäviään ja nauroi koko ajan.,"Hän piti siitä niin paljon, että suunnitteli matkan seuraavalle viikolle.","Häntä ammuttiin ja hän vannoi, ettei enää koskaan mene sinne.",1
f531b039-67a6-4797-989d-24f716ed4073,Kaikilla Javierin koulukavereilla on älypuhelimet.,Hän käyttää kuitenkin edelleen vanhaa flip-puhelinta.,Eräänä päivänä hän päättää ostaa myös älypuhelimen.,"Aluksi hän rakastaa sitä, että hänellä on internet-yhteys kaikkialla.",Javier päättää hankkia älypuhelimen.,Mutta sitten hän kaipaa vanhaa puhelintaan.,2
