InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,リックは、問題を抱えた家庭で育ちました。,彼は家族の良いサポートを得られず、ギャングに頼ってしまった。,程なくして、リックは強盗に撃たれてしまった。,この事件をきっかけに、彼は新たな一歩を踏み出した。,彼は今、幸せです。,暴力団に入った。,1
bff9f820-9605-4875-b9af-fe6f14d04256,Laverneは友人のパーティーのために何かを準備する必要があります。,彼女はブラウニーを焼くことにした。,彼女はレシピを選び、それに忠実に従う。,Laverneはブラウニーの一つをテストして美味しさを確認します。,ブラウニーはとても美味しく、Laverneは2つ食べてしまいます。,Laverneは友人のパーティーに行かない。,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,サラは何年も前からヨーロッパに行くことを夢見ていた。,やっとの思いで旅行資金を貯めたのだ。,彼女はスペインに上陸し、大陸を東へと旅した。,何もかもが違うのが嫌だったのだ。,そして、サラはヨーロッパへの移住を決意しました。,サラは、ヨーロッパよりも自宅の方がいいと考えた。,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,ジーナさんは、チューブに入ったクッキー生地がグロいのではないかと心配していました。,彼女は自分が間違っていたことを知り、とても喜んだ。,チューブのクッキーは、最初から作るのと同じくらい美味しかったです。,ジーナはクッキーを2枚だけ食べて、残りは取っておくつもりだった。,ジーナはこのクッキーをとても気に入って、一度に全部食べてしまった。,ジーナはこのクッキーを教会で配りました。,1
69ac9b05-b956-402f-9fff-1f926ef9176b,マーチングバンドでの最後の演奏でした。,私はバンドでスネアドラムを演奏していました。,Thriller」と「Radar Love」を演奏しました。,パフォーマンスは完璧だった。,私は自分のパフォーマンスをとても誇りに思っていました。,私は自分のパフォーマンスをとても恥じていました。,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,ジムは、ガラクタの引き出しの底から古い使い捨てカメラを見つけた。,彼は周りのすべてのものを破壊し始めた。,カウンターは最後の1枚の写真に向かってクリックされた。,ジムにも事態の深刻さが伝わってきた。,ジムは何を撮るか決めるのに時間がかかった。,ジムはさらに20枚の写真を撮った。,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ronは今日からランドスケーパーとしての新しい仕事を始めた。,彼はアウトドアが大好きで、いつも楽しく仕事をしています。,上司からは、市長の家の前庭を土で塗り替えるように言われる。,ロンは恍惚とした表情を浮かべていたが、徹底的に仕事をして超早めに終了した。,ロンは反抗的な態度をとってすぐに解雇される。,上司からは「よくやった」と評価されています。,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,ジョンとビリーは、ビールポンがとても上手になった。,彼らは大学でコンテストに参加した。,彼らはコンテストで優勝し、次のレベルに進みました。,次のレベルでは、ラスベガスに送られました。,ラスベガスで、ジョンとビリーは80人の出場者と競い合った。,ジョンとビリーはがっかりした。,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,キャロラインは医学部の学生だった。,Carolineは良い成績を取るために一生懸命努力しました。,ある日、キャロラインはテストで1点差で落ちてしまった。,キャロラインはとても悔しがっていましたが、一生懸命勉強を続けました。,しかし、彼女は諦めた。,その後、彼女はテストに合格しました。,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,トリッシュはアウトドアが嫌いだった。,友達に説得されてキャンプに行くことになった。,彼女は楽しい時間を過ごしていなかった。,魚の釣り方を教えてくれたり、星を見せてくれたり。,最終的には、トリッシュは自然を受け入れるようになった。,この魚は非常に面白い交尾の習慣を持っていました。,1
a7905e16-15be-433f-bdef-b488a83e4582,トニーは、初めてのクルーズに参加できることを喜んでいた。,埠頭に到着し、荷物を揃えて準備する。,角を曲がると、その大きさに驚かされた。,彼が乗り込み、船は埠頭を離れた。,トニーはクルーズを楽しみました。,トニーは海が怖かった。,1
