"InputStoryid","InputSentence1","Certainly, InputSentence2","A long time ago InputSentence3","Indeed, InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
"b929f263-1dcd-4a0b-b267-5d5ff2fe65bb","Just now All my friends like to dance at the club.","Therefore They think it's great fun and always invite you.","Meanwhile, Last Saturday I finally decided to go with him.","In Oberfranken, I was dancing terribly and broke my friend's toe.","my friends decided not to challenge me because I'm not that fun.","I wasn't asked to stay at home the following weekend.","2"
"7cbbc0af-bcce-4f56-871d-963f9bb6a99d","In Bulgaria, One day I tried to go to the park.","A long time ago The weather looked nice enough for a walk.","Furthermore, Within minutes of getting there, I started sneezing.","Then, My eyes were watering and I was breathing heavily.","my allergies weren't too bad and I didn't have to go home.","I remembered how much I dislike spring flowers.","1"
"4745d627-be9b-45f2-ad92-99c82cc83f85","Avery was married and had children.","In Slovenia, He is tired of a boring life.","Anyway, One day, she decided to meet an old friend from college.","Ages ago That night, she made bad decisions and was unfaithful to her husband.","Avery didn't think his children would be happy with his decision.","Avery did not regret his action the next day.","2"
"6bc5a855-3a02-454c-8d8b-4428b1864f95","In Xingping, Josh loved it when his mum baked apple pie.","Moreover, He hated always having to wait until dinner.","So this time, he decided to have a bite before dinner.","Moreover, But the egg his mother used was bad.","Josh didn't find the pie tasty.","Josh didn't get sick.","2"
"2f74e81d-957b-4541-9e66-59e5eaa6aef1","John wrote the lyrics for his new album.","Last spring He began to experience writer's block.","In Greece, He tried to force himself to write, but he couldn't.","Then, He went for walks, socialised with friends and observed nature.","he didn't feel inspired, and then he went home and started writing.","John had no idea for his painting at the time.","1"
"325503ab-11f5-416d-81fb-3980793ca6f7","Last Saturday The cashier was counting individual coupons on her desk.","In Nigeria, Two men with guns in their hands break into the shop.","Well, Everyone got scared and started screaming.","Ultimately, The men threatened people to be quiet.","the cashier didn't give them money to leave.","the treasurer did not invite the men to the high school meeting.","1"
"794c804e-89ca-47b1-a583-7300e0509764","In Russia, Next door, Mills had a new car.","Last week The car was stolen at the weekend.","Anyway, They came up to me and asked me if I knew anything.","Indeed, I told them no, but for some reason they suspected me.","they didn't call the police to come to my house.","didn't like it much after that.","1"
"ece6f206-49ab-4c70-8a65-d6d2b0c97610","He was a very unpleasant boy in Kerry's economics class.","In Cameroon, With his mediocre ideas, he monopolised every classroom discussion.","Certainly, The professor could never get him to be quiet.","Recently, One day he came to class with laryngitis.","Kerry is not disappointed.","Kerry has never been so grateful!","2"
"61d1df75-b64c-485d-9599-0dd7f8809433","In America, Franny didn't like the wave of immigration.","Last Saturday He believed that immigrants come to cause social problems.","Anyway, Franny became upset when an immigrant moved in next door.","Anyway, The newcomer, Sal, was friendly and befriended Franny.","In the end, Franny was not expelled.","Franny has not learned to check her prejudices.","2"
"482130ae-9698-477e-a20e-76b48d99a2e3","A long time ago Brandon was given a 10-page research paper in class.","Anyway, He started writing his thesis on his 2003 Dell laptop.","Anyway, Brandon stayed up until 1am to finish his essay.","In Tiko, The computer suddenly crashed and died.","when he didn't finish his essay, he went to bed.","Fortunately, not everything was saved on an external drive.","2"
"3f076ec0-6985-418d-bb75-45b437aceca0","In Finland, Ari spends 20 dollars a day on pickles.","Last Sunday To save money, he decides to make it himself.","Ultimately, Place the pickles in the brine.","Consequently, Ari waits 2 weeks for the pickles to sour.","ari opens the jar and finds an incomplete pickle.","Ari's pickles are not sweet.","1"
"b5bc0ca6-03b0-43c0-8114-20186b5f783b","In Romania, Trudey wanted to write novels for a living.","Last Wednesday It was written using traditional publishing tools.","Indeed, He barely brought enough to cover the advance he received.","Anyway, The second book was self-published.","Trudey did not hope that self-publishing would be more profitable.","Trudey didn't call his sister and invite her to dinner.","1"
