"InputStoryid","InputSentence1","InputSentence2","InputSentence3","InputSentence4","RandomFifthSentenceQuiz1","RandomFifthSentenceQuiz2","AnswerRightEnding"
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb,All my friends like to dance in the club.,They think it's great fun and they always invite you.,Last Saturday I finally decided to join.,I danced terribly and broke my friend's toe.,my friends have decided to stop asking me out because I'm not that much fun.,I was not asked to stay at home the following weekend.,2
7cbbc0af-bcce-4f56-871d-963f9bb6a99d,One day I tried to go to the park.,The weather looked nice enough for a walk.,"Within minutes of getting there, I started sneezing.",My eyes were watering and I was breathing heavily.,my allergy was not too severe and I didn't have to go home.,I remembered how much I dislike spring flowers.,1
4745d627-be9b-45f2-ad92-99c82cc83f85,Avery was married and had children.,He is tired of his boring life.,One day she decided to meet an old college boyfriend.,"That night, she made bad decisions and was unfaithful to her husband.",Avery didn't think his children would be happy with his decision.,Avery had no regrets the next day.,2
6bc5a855-3a02-454c-8d8b-4428b1864f95,Josh loved it when his mother baked apple pie.,He didn't like always having to wait until dinner.,So this time he decided to have a bite before dinner.,The eggs his mother used were probably bad.,Josh said the pie was not delicious.,Josh did not get sick.,2
2f74e81d-957b-4541-9e66-59e5eaa6aef1,John has written the lyrics for his new album.,He started to experience writer's block.,"He tried to force himself to write, but it didn't help.","He went for walks, made friends and watched nature.","felt uninspired, and then went home and wrote.",John had no idea about painting at that time.,1
325503ab-11f5-416d-81fb-3980793ca6f7,The cashier was counting the singles on her desk.,Two men broke into the shop and picked up the weapons.,Everybody got scared and started screaming.,The men threatened the people to keep quiet.,the cashier did not give them cash to leave.,the cashier did not invite the men to the high school reunion.,1
794c804e-89ca-47b1-a583-7300e0509764,"Next door, Mills had a new car.",The car was stolen over the weekend.,They came to me and asked me if I knew anything.,"I told them no, but they were suspicious of me for some reason.",they didn't call the police to come to my house.,they didn't love me.,1
ece6f206-49ab-4c70-8a65-d6d2b0c97610,He was a very unpleasant boy in Kerry's economics class.,He monopolized all classroom debate with his mediocre ideas.,The professor could never get him to keep quiet.,One day she came to class with laryngitis.,Kerry is not disappointed.,Kerry was never so grateful!,2
61d1df75-b64c-485d-9599-0dd7f8809433,Franny did not like immigration.,He believes that immigrants come to cause social problems.,Franny was upset when an immigrant moved in next door.,Newcomer Sal was friendly and made friends with Franny.,Franny was not deported in the end.,Franny has not learned to control her prejudices.,2
482130ae-9698-477e-a20e-76b48d99a2e3,Brandon had to write a 10-page research paper for the class.,He started working on the article on his 2003 Dell laptop.,Brandon stayed up until 1am to finish his task.,Suddenly your computer crashed and died.,"when he didn't finish the article, he went to bed.","Fortunately, it didn't save everything to an external drive.",2
3f076ec0-6985-418d-bb75-45b437aceca0,Ari spends $20 a day on pickles.,"To save money, he decides to make it himself.",He put the pickles in brine.,Ari waits two weeks for the pickles to acidify.,Ari opens the jar and finds pickles missing.,Aria pickles are not sweet.,1
b5bc0ca6-03b0-43c0-8114-20186b5f783b,Trudey wanted to write novels for a living.,One was written using traditional publishing tools.,He barely earned enough to cover the advance he received.,The second is self-published.,Trudey had not hoped that self-publishing would be more profitable.,Trudey did not call his sister and did not ask her to come to dinner.,1
43ff94c9-d83c-4ac5-bb44-d91f808c1e61,Feliciano was picking olives with his grandmother.,"As he picked, he told him stories about his ancestors.","Before he knew it, the sun had set.",They took the olives home and ate them together.,and then they went to pick olives.,Feliciano was not happy about his good day.,2
5b2f7f43-ce2f-4405-9576-21ef0ae67612,Aaron's girlfriend invited him to dinner.,"He said he would prepare his favourite dish, chicken alfredo.","Aaron was very excited that she wanted to cook, but he hated alfredo.",He must have mixed up his words when he told her he loved her the least.,Aaron did not suggest that she help him prepare another meal.,Aaron did not break up with her.,1
d9dde843-ee66-4dca-820a-c3d489ba586f,Oliver was nervous about the wedding.,He was worried that he would stutter during the oath.,"When the time came, he took a deep breath and began to speak.","He stuttered, but my wife smiled and hugged him, so he was fine.",Oliver has decided not to get married.,Oliver was never so grateful for his wife's love.,2
705d7e4d-3b56-48dc-9dad-9b14eff97d95,Sara has lost her cat.,It was so sad!,He put up signs all over the area.,Then something wonderful happened.,Sarah did not break her leg.,someone has not found their cat.,2
a37be14a-7724-464c-8344-87624fafaa34,Kelly was playing with his new Mario game.,He has been playing with it for several weeks.,He played for so long without beating the level.,He finally made it past the last stage.,Kelly was not angry about this.,Kelly was not so happy to have finally beaten him.,2
17cfe8c3-561d-4910-8644-0565deccbe79,Tim and Deb have been going out for almost a year.,Last Christmas they met at a party they attended.,Tim picked Deb up for a date tonight and took her out for a delicious dinner.,"After dessert, he immediately proposed to me.",Deb did not say yes to Tim's marriage proposal.,Deb didn't say she was only interested in women.,1
87aa1560-0c24-4a6d-8507-6ae058e4422a,My roommate is from Germany.,He is a very good cook.,One day he made me a sausage like the one he had back home in Germany.,"The sausage, he said, did not work well.",I think the cereal was not delicious.,I didn't like them anyway.,2
9cba37ea-cc3e-4775-b044-c3d3d4983d22,I really wanted to play chess as a child.,I sat down with my grandfather and he taught me.,"At first it was just teaching, but then it became something special.","As I got older, I continued to play checkers with him.",I still hate the chessboard.,I don't have very fond memories of the chessboard.,2
a0769cd4-45a0-492c-a566-b14b9b17cba6,"Ivy wanted a mobile phone, like all her friends.",He saved money by delivering newspapers.,Soon enough for a phone call.,He went shopping and chose the perfect phone.,Amy didn't spend all her money on clothes.,did not like his new phone.,2
40f3b904-81c7-4e92-b245-ff20840733a2,Dave walked into a grocery store.,He wanted to buy his favourite energy drink there.,He only had enough money for one can.,"When he reached the corridor, he smiled.",Dave didn't buy the whole thing.,were not for sale.,2
b00c883d-782a-428a-be8d-1749a200575f,Gina sat on her grandfather's bed and looked out.,"It was winter, and his garden was dead by spring.","His grandfather has died, so no one will take care of him.",Weeds would take over and overwhelm the flowers.,gina did not ask her grandfather which flower he liked best.,Gina did not decide to go out to pick weeds.,2
1d3e5ddd-76a9-401d-8c5c-a6f5f0bd7160,Ramona was very unhappy at work.,"He asked for a pay rise, but was refused.",The rejection prompted him to start aggressively browsing search ads.,He found an interesting new opportunity and arranged an interview.,he was not offered a new job with a higher salary.,Ramona had no reason not to want to change jobs.,1
34ddd737-0709-4fc7-b64b-6c43eaf9f48c,I wanted to buy a games console.,"I asked my parents, and they came up with the idea.","I was told that if I met my obligations, I would get money for savings.","All summer long, I did my duties every week without being asked.",My parents didn't give me enough money to buy a console.,"At the end of the summer, I didn't pay my parents back.",1
fc416bf8-23b2-41af-b4bf-ffc544321166,Felipe has been interested in Germany since childhood.,He learned about the language and culture through books in the library.,"In college, he finally made it to Berlin.","Felipe loved German art, food and beer.",Felipe never wanted to go to Germany again.,felipe never visited Germany again in his life.,2
